,12-28-2017,1-28-2018,2-28-2018,3-28-2018,3-28-2021
696,1.0,7.0,9.0,3.0,9.0
697,0.0,10.0,13.0,4.0,4.0
698,3.0,14.0,17.0,5.0,3.0
699,0.0,18.0,29.0,8.0,18.0
700,0.0,8.0,11.0,1.0,11.0
701,0.0,1.0,4.0,0.0,0.0
702,1.0,13.0,11.0,2.0,13.0
703,0.0,10.0,8.0,2.0,8.0
704,1.0,22.0,12.0,2.0,2.0
705,0.0,9.0,7.0,4.0,4.0
706,2.0,33.0,20.0,5.0,33.0
707,1.0,20.0,15.0,3.0,3.0
708,0.0,16.0,10.0,3.0,10.0
709,0.0,8.0,0.0,0.0,0.0
710,0.0,0.0,1.0,0.0,0.0
711,1.0,17.0,7.0,1.0,1.0
712,1.0,5.0,9.0,0.0,9.0
713,0.0,28.0,24.0,4.0,24.0
714,0.0,17.0,12.0,4.0,17.0
715,0.0,8.0,4.0,6.0,6.0
716,5.0,38.0,33.0,7.0,7.0
717,3.0,33.0,20.0,4.0,3.0
718,1.0,13.0,7.0,1.0,1.0
719,0.0,41.0,34.0,6.0,41.0
720,2.0,119.0,96.0,29.0,119.0
722,0.0,0.0,0.0,0.0,0.0
722,2.0,99.0,71.0,24.0,24.0
723,1.0,31.0,11.0,5.0,1.0
724,1.0,59.0,55.0,16.0,1.0
725,0.0,35.0,21.0,13.0,21.0
726,0.0,17.0,5.0,2.0,5.0
727,0.0,37.0,45.0,6.0,37.0
728,1.0,102.0,58.0,23.0,102.0
729,0.0,18.0,5.0,0.0,0.0
730,0.0,10.0,2.0,4.0,0.0
731,0.0,52.0,42.0,6.0,0.0
732,0.0,15.0,16.0,6.0,15.0
733,0.0,8.0,0.0,0.0,0.0
734,0.0,26.0,11.0,9.0,9.0
736,0.0,0.0,0.0,0.0,0.0
736,0.0,19.0,7.0,1.0,19.0
737,0.0,14.0,9.0,3.0,0.0
738,3.0,50.0,54.0,20.0,3.0
739,0.0,25.0,12.0,6.0,12.0
740,1.0,26.0,11.0,1.0,1.0
741,0.0,16.0,6.0,1.0,1.0
742,0.0,6.0,2.0,0.0,0.0
743,0.0,3.0,3.0,2.0,3.0
744,7.0,49.0,19.0,9.0,9.0
745,1.0,23.0,10.0,12.0,1.0
746,2.0,37.0,9.0,7.0,37.0
747,7.0,67.0,59.0,17.0,59.0
748,0.0,29.0,33.0,5.0,29.0
749,12.0,68.0,61.0,25.0,68.0
750,6.0,35.0,37.0,12.0,35.0
751,5.0,52.0,52.0,15.0,5.0
752,4.0,32.0,22.0,11.0,11.0
753,14.0,132.0,106.0,29.0,106.0
754,6.0,43.0,48.0,13.0,13.0
755,0.0,11.0,2.0,1.0,1.0
756,0.0,13.0,6.0,2.0,13.0
757,0.0,2.0,2.0,0.0,0.0
758,0.0,4.0,3.0,1.0,3.0
759,0.0,6.0,3.0,0.0,3.0
760,0.0,4.0,0.0,0.0,0.0
761,1.0,24.0,16.0,3.0,16.0
762,0.0,4.0,2.0,1.0,2.0
763,1.0,8.0,5.0,2.0,8.0
764,0.0,3.0,3.0,1.0,1.0
765,0.0,1.0,2.0,1.0,1.0
766,0.0,2.0,2.0,0.0,2.0
767,0.0,0.0,1.0,0.0,1.0
768,0.0,2.0,1.0,3.0,3.0
769,1.0,8.0,9.0,2.0,2.0
770,0.0,77.0,1.0,10.0,10.0
771,0.0,3.0,8.0,0.0,8.0
772,1.0,6.0,2.0,2.0,6.0

